date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:53	143212/143212	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-22f6c%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Book.d9f644b72aa74e6787228a84a4edf5ca.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Book.d9f644b72aa74e6787228a84a4edf5ca.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:53	43964/43964	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-abbc%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Medium.8f4e3740ac308e3860b20298d72a01ce.woff2	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Medium.8f4e3740ac308e3860b20298d72a01ce.woff2	(from https://www.visualcv.com/app/visualcv.css)
12:02:54	62256/62256	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-f330%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Medium.ccbca1fbc577881d6cb3e1ccd337116b.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Medium.ccbca1fbc577881d6cb3e1ccd337116b.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:54	139072/139072	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fe38b70-21f40%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Medium.4435cf66bf1d14542637295f431813de.eot	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Medium.4435cf66bf1d14542637295f431813de.eot	(from https://www.visualcv.com/app/visualcv.css)
12:02:54	138892/138892	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-21e8c%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Medium.33f0123452491ec8dd7615000178b42c.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Medium.33f0123452491ec8dd7615000178b42c.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:54	29444/29444	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-7304%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.8e2f9927aa301ded355b3665ace1d69a.woff2	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.8e2f9927aa301ded355b3665ace1d69a.woff2	(from https://www.visualcv.com/app/visualcv.css)
12:02:54	41200/41200	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225fe38b70-a0f0%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.dcb4657b8f48188d74596bafebbc6e23.woff	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.dcb4657b8f48188d74596bafebbc6e23.woff	(from https://www.visualcv.com/app/visualcv.css)
12:02:55	94832/94832	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225fe38b70-17270%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.364588658c6fb2019cf3f5ac3f3322f5.eot	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.364588658c6fb2019cf3f5ac3f3322f5.eot	(from https://www.visualcv.com/app/visualcv.css)
12:02:55	94656/94656	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-171c0%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.26c0325921657d903102f652220490b3.ttf	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Heavy.26c0325921657d903102f652220490b3.ttf	(from https://www.visualcv.com/app/visualcv.css)
12:02:55	29536/29536	---M--	200	added ('OK')	application/octet-stream	etag:%225fe38b70-7360%22	https://www.visualcv.com/app/build/assets/fonts/Avenir-Black.cde9ec1f3d042f30f7ae3ee5109a1b58.woff2	C:/My%20Web%20Sites/I_R/www.visualcv.com/app/build/assets/fonts/Avenir-Black.cde9ec1f3d042f30f7ae3ee5109a1b58.woff2	(from https://www.visualcv.com/app/visualcv.css)
